time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.495809886529175e-07,9.147488543708096e-07,0.004177624398041567,0.0006541924133758314,0.0006177786734768986,0.0,-6.745854517808947e-05,7.21893365909196e-05,0.1392465706201684,0.026747814129707996,0.02547927840391144,0.0,448.03331624847357,450.0996595588287,448.2066091901547,450.3747537210952
0.12000000000000001,-2.581065948950716e-05,2.7067975014371836e-05,0.017691240393861413,0.0023744776369039045,0.002448467181764613,0.0,-0.0009555233443091459,0.0009871554759359152,0.31117501218445015,0.032264434234745024,0.03904151708055112,0.0,458.1695477972249,459.246628539754,459.4548269465616,459.8921152613457
0.18,-0.00015712027130929582,0.00015615157687921211,0.0442915835846669,0.003990334969535603,0.004980731581566644,0.0,-0.0037299249003105105,0.0035435176005545158,0.5754056896823697,0.013254058910131691,0.04787788353705462,0.0,486.0901549227294,486.75256885269516,487.0208295957146,485.5971943383101
0.23999999999999996,-0.0005151196718944635,0.0004707250814265263,0.08551488628415059,0.005519459513600999,0.007528894289589694,0.0,-0.008532334463727415,0.00709015235135522,0.7985723866411399,0.04271371358191651,0.028539414897093565,0.0,474.8148695790903,473.32998580668186,474.3044136223838,476.561294883231
0.3,-0.001187555576741419,0.0010191001885305165,0.13623078247594625,0.00839126235084997,0.009190284678848748,0.0,-0.014052120507252715,0.011464696963770732,0.8918856769614807,0.05656162012757439,0.025934409794258262,0.0,435.72528856916745,435.50769452967137,434.7040834202141,435.86421011184717
0.36000000000000004,-0.002227579922865994,0.0018935808560706536,0.19275748274830662,0.011939848444892931,0.010156021408657345,0.0,-0.020766614309522737,0.018038604919653006,0.9922505385831387,0.06386005618888925,-0.026446325055975186,0.0,439.97453348851286,435.61679627141183,437.6083472396301,438.21787196607977
0.4200000000000001,-0.0036983379752294878,0.0032642306371156483,0.2574315082874219,0.01571623377585496,0.008340101807768896,0.0,-0.02806720436162367,0.028075863661400923,1.1633876268264378,0.06103345264733001,-0.03927277985590877,0.0,460.3317598177821,459.31548896212223,460.1828347854865,459.9617850813134
0.48000000000000015,-0.0055356725891893355,0.005266609972907392,0.3289651688642651,0.019055263976602177,0.0060106979425809115,0.0,-0.03295257401084717,0.03900717192772925,1.2210034472720899,0.04181028063183647,-0.037939671711708256,0.0,424.33459486732755,424.4481834273186,425.73296406468114,424.0873493006915
0.5400000000000001,-0.007646366410786946,0.008073818878976421,0.40846791107172453,0.021745723782237825,0.003525980024081221,0.0,-0.03712308803679663,0.054869142170838506,1.4288465156959513,0.05030008319813688,-0.04946051314770118,0.0,471.4394546254588,470.54768623080633,471.46792400128186,472.12436016495957
0.6000000000000002,-0.009947524674706373,0.011918075875210913,0.5012933777355865,0.024708225524801897,0.0005848737550344651,0.0,-0.03922041520795175,0.07363099858725966,1.6650143434125164,0.04745827070377726,-0.04814891975565194,0.0,480.8975172875287,480.9955581775422,479.53648300349346,479.3219071141554
0.6600000000000003,-0.012302493934819964,0.016834912965833657,0.6033101531484443,0.027385764508921717,6.281450313335895,0.0,-0.03902889623868773,0.0905311296734204,1.7354327581863147,0.03825670835979444,-0.024399916676790534,0.0,428.9735498394908,430.98441831747857,430.8817582599186,430.10441246676754
0.7200000000000003,-0.014604749666155874,0.022813950924175895,0.7094479620439148,0.029776816902506553,6.279838694373989,0.0,-0.03756431849165905,0.10899470301042158,1.802383231505994,0.042861676716688946,-0.032300477399436214,0.0,429.29315893340566,428.62209143413264,429.570756595321,429.9619113502247
0.7800000000000004,-0.01676853633877714,0.030095192093938093,0.8244226879287637,0.03277240917201496,6.278348519509379,0.0,-0.034359851605782574,0.1340413342165127,2.029719727979207,0.061238020544069814,-0.013010391637533007,0.0,478.6730710386345,480.13858097108897,477.4228310909042,478.8240920490197
0.8400000000000004,-0.018715677313576772,0.03890831942033024,0.951585339760903,0.03619758149098207,6.277821096366431,0.0,-0.030473340400953005,0.1601235326165593,2.208690792843625,0.04712710014961009,-0.0014617008665576059,0.0,465.08207846868146,465.9857966044912,465.64052197636977,464.53742922516324
0.9000000000000005,-0.020423771749823082,0.04933654911492046,1.0887945349500114,0.0385568824269118,6.277639125891554,0.0,-0.0264501211303186,0.18776742573024396,2.3646261131570143,0.015245372890918733,-0.006376647503275681,0.0,458.49605025584117,458.1054768186622,461.137561598809,458.61295678054887
0.9600000000000005,-0.021885164579024768,0.061471857573102896,1.235426566351746,0.04030637586091057,6.276750015821406,0.0,-0.02220664921064522,0.21688612002203994,2.5227636212690543,0.04802610280991593,-0.042688356225740576,0.0,461.7414143929426,458.8679096987584,459.25309165048935,461.8459624858761
1.0200000000000005,-0.023045511363295263,0.07550567719346284,1.3941084250565772,0.04368089178331935,6.2746008010833005,0.0,-0.016188443730900053,0.25127388482760776,2.7660534247827604,0.06900166263166982,-0.024764081238257095,0.0,486.1628407490785,487.5034484634873,484.8418245443829,486.4169228894746
1.0800000000000005,-0.02382755601754962,0.09153224464107537,1.5637801136806075,0.04826767073829341,6.272648543757107,0.0,-0.00970987136127573,0.28339373217260116,2.8893384867967122,0.08824296634611277,-0.056442974580200256,0.0,453.6195647632469,451.06791516263354,450.3423201274938,451.90040009000427
1.1400000000000006,-0.024189634991575552,0.10950933553499265,1.739214720643131,0.05473874840661974,6.268896775904125,0.0,-0.0020176127292614457,0.31642084883212457,2.95826577163783,0.1314715826883341,-0.07889669367194223,0.0,436.4298812822811,434.5485925376674,433.3903249397138,437.01815782970846
